arrow_number:0 ; coor:(227, 462) ; head_tail:None
arrow_number:0 ; coor:(227, 609) ; head_tail:None
arrow_number:1 ; coor:(341, 272) ; head_tail:None
arrow_number:1 ; coor:(341, 306) ; head_tail:None
arrow_number:2 ; coor:(341, 414) ; head_tail:None
arrow_number:2 ; coor:(341, 449) ; head_tail:None
arrow_number:3 ; coor:(341, 550) ; head_tail:None
arrow_number:3 ; coor:(341, 585) ; head_tail:None
arrow_number:4 ; coor:(341, 481) ; head_tail:None
arrow_number:4 ; coor:(341, 516) ; head_tail:None
arrow_number:5 ; coor:(223, 25) ; head_tail:None
arrow_number:5 ; coor:(223, 71) ; head_tail:None
arrow_number:6 ; coor:(341, 345) ; head_tail:None
arrow_number:6 ; coor:(341, 379) ; head_tail:None
arrow_number:7 ; coor:(341, 200) ; head_tail:None
arrow_number:7 ; coor:(341, 234) ; head_tail:None
arrow_number:8 ; coor:(179, 369) ; head_tail:None
arrow_number:8 ; coor:(278, 369) ; head_tail:None
arrow_number:9 ; coor:(103, 196) ; head_tail:None
arrow_number:9 ; coor:(103, 239) ; head_tail:None
arrow_number:10 ; coor:(102, 140) ; head_tail:None
arrow_number:10 ; coor:(346, 140) ; head_tail:None
